meta_id,calendario_sk,periodo_operativo_sort,mes_operativo_dt,contrato_sk,equipo_sk,tipo_maquina,meta_metraje_m,proyectado_m
45,20260101,202601,2026-01-01,15,70,MINA,900.0,0.0
46,20260101,202601,2026-01-01,20,89,MINA,1150.0,0.0
47,20260101,202601,2026-01-01,20,90,MINA,1150.0,0.0
48,20260101,202601,2026-01-01,20,87,MINA,1150.0,0.0
49,20250101,202501,2025-01-01,4,22,MINA,750.0,0.0
50,20250201,202502,2025-02-01,4,18,MINA,750.0,0.0
51,20250201,202502,2025-02-01,4,19,MINA,750.0,0.0
52,20250201,202502,2025-02-01,4,17,MINA,750.0,0.0
53,20250201,202502,2025-02-01,4,21,MINA,750.0,0.0
54,20250201,202502,2025-02-01,4,22,MINA,750.0,0.0
55,20250201,202502,2025-02-01,4,20,MINA,750.0,0.0
56,20250101,202501,2025-01-01,1,2,MINA,1100.0,0.0
57,20250101,202501,2025-01-01,1,3,MINA,1100.0,0.0
58,20250101,202501,2025-01-01,13,65,MINA,850.0,0.0
59,20250101,202501,2025-01-01,13,64,MINA,850.0,0.0
60,20250101,202501,2025-01-01,8,40,MINA,1050.0,0.0
61,20250101,202501,2025-01-01,8,43,MINA,1050.0,0.0
62,20250101,202501,2025-01-01,8,42,MINA,1050.0,0.0
63,20250101,202501,2025-01-01,8,41,MINA,1050.0,0.0
64,20250101,202501,2025-01-01,8,34,MINA,1050.0,0.0
65,20250101,202501,2025-01-01,11,52,SUPERFICIE,760.0,0.0
66,20250101,202501,2025-01-01,9,44,MINA,1050.0,0.0
67,20250101,202501,2025-01-01,16,74,SUPERFICIE,900.0,0.0
68,20250101,202501,2025-01-01,16,76,MINA,900.0,0.0
69,20250101,202501,2025-01-01,16,75,MINA,1000.0,0.0
70,20250101,202501,2025-01-01,16,77,MINA,1000.0,0.0
71,20250101,202501,2025-01-01,12,54,SUPERFICIE,800.0,0.0
72,20250101,202501,2025-01-01,12,53,SUPERFICIE,800.0,0.0
73,20250101,202501,2025-01-01,12,60,MINA,800.0,0.0
74,20250101,202501,2025-01-01,12,62,MINA,800.0,0.0
75,20250101,202501,2025-01-01,17,82,MINA,850.0,0.0
76,20250101,202501,2025-01-01,17,80,MINA,850.0,0.0
77,20250101,202501,2025-01-01,17,81,MINA,850.0,0.0
78,20250101,202501,2025-01-01,7,31,MINA,900.0,0.0
79,20250101,202501,2025-01-01,7,33,MINA,900.0,0.0
80,20250101,202501,2025-01-01,7,26,MINA,900.0,0.0
81,20250101,202501,2025-01-01,7,25,MINA,900.0,0.0
82,20250101,202501,2025-01-01,2,5,SUPERFICIE,900.0,0.0
83,20250101,202501,2025-01-01,2,8,MINA,900.0,0.0
84,20250101,202501,2025-01-01,2,9,MINA,900.0,0.0
85,20250101,202501,2025-01-01,2,4,SUPERFICIE,900.0,0.0
86,20250101,202501,2025-01-01,10,51,MINA,1600.0,0.0
87,20250101,202501,2025-01-01,10,48,SUPERFICIE,750.0,0.0
88,20250101,202501,2025-01-01,10,45,MINA,900.0,0.0
89,20250101,202501,2025-01-01,14,68,MINA,1150.0,0.0
90,20250101,202501,2025-01-01,14,69,MINA,1150.0,0.0
91,20250101,202501,2025-01-01,14,67,MINA,1150.0,0.0
92,20250101,202501,2025-01-01,15,73,MINA,900.0,0.0
93,20250101,202501,2025-01-01,15,72,MINA,835.0,0.0
94,20250101,202501,2025-01-01,15,71,MINA,900.0,0.0
95,20250101,202501,2025-01-01,15,70,MINA,900.0,0.0
96,20250101,202501,2025-01-01,20,89,MINA,1150.0,0.0
97,20250101,202501,2025-01-01,20,90,MINA,1150.0,0.0
98,20250101,202501,2025-01-01,20,87,MINA,1150.0,0.0
99,20250301,202503,2025-03-01,4,18,MINA,750.0,0.0
100,20250301,202503,2025-03-01,4,19,MINA,750.0,0.0
101,20250301,202503,2025-03-01,4,17,MINA,750.0,0.0
102,20250301,202503,2025-03-01,4,21,MINA,750.0,0.0
103,20250301,202503,2025-03-01,4,20,MINA,750.0,0.0
104,20250301,202503,2025-03-01,4,22,MINA,750.0,0.0
105,20250201,202502,2025-02-01,1,2,MINA,1100.0,0.0
106,20250201,202502,2025-02-01,1,3,MINA,1100.0,0.0
107,20250201,202502,2025-02-01,13,65,MINA,850.0,0.0
108,20250201,202502,2025-02-01,13,64,MINA,850.0,0.0
109,20250201,202502,2025-02-01,8,40,MINA,1050.0,0.0
110,20250201,202502,2025-02-01,8,43,MINA,1050.0,0.0
111,20250201,202502,2025-02-01,8,42,MINA,1050.0,0.0
112,20250201,202502,2025-02-01,8,41,MINA,1050.0,0.0
113,20250201,202502,2025-02-01,8,34,MINA,1050.0,0.0
114,20250201,202502,2025-02-01,11,52,SUPERFICIE,760.0,0.0
115,20250201,202502,2025-02-01,9,44,MINA,1050.0,0.0
116,20250201,202502,2025-02-01,16,76,MINA,900.0,0.0
117,20250201,202502,2025-02-01,16,75,MINA,1000.0,0.0
118,20250201,202502,2025-02-01,16,77,MINA,1000.0,0.0
119,20250201,202502,2025-02-01,12,54,SUPERFICIE,800.0,0.0
120,20250201,202502,2025-02-01,12,53,SUPERFICIE,800.0,0.0
121,20250201,202502,2025-02-01,12,60,MINA,800.0,0.0
122,20250201,202502,2025-02-01,12,62,MINA,800.0,0.0
123,20250201,202502,2025-02-01,17,82,MINA,850.0,0.0
