hora_evento_id,calendario_sk,contrato_sk,equipo_sk,actividad_sk,turno_guardia,horas_reportadas,es_cobrable,categoria_disponibilidad,id_clave_unica
2226,20260831,13,66,9,B,2.0,True,Stand By Operativo,20260831-LA ESTRELLA-XRD150U-006-B
2227,20260831,13,66,10,B,2.0,True,Stand By Operativo,20260831-LA ESTRELLA-XRD150U-006-B
2228,20260831,13,66,47,B,0.5,False,Stand By Inoperativo,20260831-LA ESTRELLA-XRD150U-006-B
2229,20260831,13,66,55,B,0.5,False,Stand By Inoperativo,20260831-LA ESTRELLA-XRD150U-006-B
2230,20260831,13,66,58,B,2.0,False,Stand By Inoperativo,20260831-LA ESTRELLA-XRD150U-006-B
2231,20260831,13,66,59,B,1.0,False,Stand By Inoperativo,20260831-LA ESTRELLA-XRD150U-006-B
2232,20260826,15,73,1,A,2.5,True,Tiempo Efectivo - Operativo,20260826-RAURA-XRD90USS-004-A
2233,20260826,15,73,6,A,3.0,False,Mantenimiento,20260826-RAURA-XRD90USS-004-A
2234,20260826,15,73,8,A,0.5,True,Stand By Operativo,20260826-RAURA-XRD90USS-004-A
2235,20260826,15,73,9,A,0.5,True,Stand By Operativo,20260826-RAURA-XRD90USS-004-A
2236,20260826,15,73,16,A,0.5,True,Stand By Operativo,20260826-RAURA-XRD90USS-004-A
2237,20260826,15,73,47,A,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-004-A
2238,20260826,15,73,55,A,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-004-A
2239,20260826,15,73,58,A,2.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-004-A
2240,20260826,15,73,59,A,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-004-A
2241,20260826,15,73,1,B,3.5,True,Tiempo Efectivo - Operativo,20260826-RAURA-XRD90USS-004-B
2242,20260826,15,73,5,B,0.5,False,Mantenimiento,20260826-RAURA-XRD90USS-004-B
2243,20260826,15,73,8,B,0.5,True,Stand By Operativo,20260826-RAURA-XRD90USS-004-B
2244,20260826,15,73,20,B,1.0,True,Stand By Operativo,20260826-RAURA-XRD90USS-004-B
2245,20260826,15,73,47,B,0.5,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-004-B
2246,20260826,15,73,48,B,0.5,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-004-B
2247,20260826,15,73,50,B,0.5,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-004-B
2248,20260826,15,73,52,B,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-004-B
2249,20260826,15,73,55,B,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-004-B
2250,20260826,15,73,58,B,2.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-004-B
2251,20260826,15,73,59,B,1.0,False,Stand By Inoperativo,20260826-RAURA-XRD90USS-004-B
2252,20260827,15,73,1,A,4.0,True,Tiempo Efectivo - Operativo,20260827-RAURA-XRD90USS-004-A
2253,20260827,15,73,5,A,0.5,False,Mantenimiento,20260827-RAURA-XRD90USS-004-A
2254,20260827,15,73,8,A,0.5,True,Stand By Operativo,20260827-RAURA-XRD90USS-004-A
2255,20260827,15,73,47,A,1.0,False,Stand By Inoperativo,20260827-RAURA-XRD90USS-004-A
