equipo_sk,equipo_cd,codigo_sap,modelo_fabricante,fabricante,tipo_energia,horas_dia_planeadas,contrato_sk_asignado,estado_operativo
-1,NO_ASIGNADO,SAP-000,[EQUIPO NO ASIGNADO],ROCKDRILL,ELECTRO-HIDRAULICA,24,-1,OPERATIVO
1,XRD50U-002,SAP-XRD50U-002,XRD50U-002,ROCKDRILL,ELECTRO-HIDRAULICA,24,1,OPERATIVO
2,XRD50USS-001,SAP-XRD50USS-001,XRD50USS-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,1,OPERATIVO
3,LF90D ST-002,SAP-LF90D ST-002,LF90D ST-002,ROCKDRILL,DIESEL,24,2,OPERATIVO
4,XRD150U-001,SAP-XRD150U-001,XRD150U-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,2,OPERATIVO
5,XRD80USS-010,SAP-XRD80USS-010,XRD80USS-010,ROCKDRILL,ELECTRO-HIDRAULICA,24,2,OPERATIVO
6,XRD100U-001,SAP-XRD100U-001,XRD100U-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,3,OPERATIVO
7,XRD125UFDR-001,SAP-XRD125UFDR-001,XRD125UFDR-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,3,OPERATIVO
8,XRD50U-003,SAP-XRD50U-003,XRD50U-003,ROCKDRILL,ELECTRO-HIDRAULICA,24,3,OPERATIVO
9,XRD50USS-004,SAP-XRD50USS-004,XRD50USS-004,ROCKDRILL,ELECTRO-HIDRAULICA,24,3,OPERATIVO
10,XRD90U-005,SAP-XRD90U-005,XRD90U-005,ROCKDRILL,ELECTRO-HIDRAULICA,24,3,OPERATIVO
11,XRD150U-002,SAP-XRD150U-002,XRD150U-002,ROCKDRILL,ELECTRO-HIDRAULICA,24,4,OPERATIVO
12,LM110U-001,SAP-LM110U-001,LM110U-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,5,OPERATIVO
13,LM90U-001,SAP-LM90U-001,LM90U-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,5,OPERATIVO
14,XRD120U-001,SAP-XRD120U-001,XRD120U-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,5,OPERATIVO
15,XRD150USS-005,SAP-XRD150USS-005,XRD150USS-005,ROCKDRILL,ELECTRO-HIDRAULICA,24,5,OPERATIVO
16,XRD90U-021,SAP-XRD90U-021,XRD90U-021,ROCKDRILL,ELECTRO-HIDRAULICA,24,5,OPERATIVO
17,XRD90USS-003,SAP-XRD90USS-003,XRD90USS-003,ROCKDRILL,ELECTRO-HIDRAULICA,24,5,OPERATIVO
18,XLM75UFDR-003,SAP-XLM75UFDR-003,XLM75UFDR-003,ROCKDRILL,ELECTRO-HIDRAULICA,24,6,OPERATIVO
19,XRD125UFDR-002,SAP-XRD125UFDR-002,XRD125UFDR-002,ROCKDRILL,ELECTRO-HIDRAULICA,24,6,OPERATIVO
20,XRD150U-008,SAP-XRD150U-008,XRD150U-008,ROCKDRILL,ELECTRO-HIDRAULICA,24,6,OPERATIVO
21,XRD50UFDR-001,SAP-XRD50UFDR-001,XRD50UFDR-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,6,OPERATIVO
22,XRD80USS-006,SAP-XRD80USS-006,XRD80USS-006,ROCKDRILL,ELECTRO-HIDRAULICA,24,6,OPERATIVO
23,XRD80USS-012,SAP-XRD80USS-012,XRD80USS-012,ROCKDRILL,ELECTRO-HIDRAULICA,24,7,OPERATIVO
24,XLM75UFDR-002,SAP-XLM75UFDR-002,XLM75UFDR-002,ROCKDRILL,ELECTRO-HIDRAULICA,24,8,OPERATIVO
25,XLM75UFDR-004,SAP-XLM75UFDR-004,XLM75UFDR-004,ROCKDRILL,ELECTRO-HIDRAULICA,24,8,OPERATIVO
26,XRD150USS-003,SAP-XRD150USS-003,XRD150USS-003,ROCKDRILL,ELECTRO-HIDRAULICA,24,8,OPERATIVO
27,XRD80ITH-001,SAP-XRD80ITH-001,XRD80ITH-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,8,OPERATIVO
28,XRD100ST-001,SAP-XRD100ST-001,XRD100ST-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,9,OPERATIVO
29,XLM75UFDR-001,SAP-XLM75UFDR-001,XLM75UFDR-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,10,OPERATIVO
30,XRD150U-003,SAP-XRD150U-003,XRD150U-003,ROCKDRILL,ELECTRO-HIDRAULICA,24,10,OPERATIVO
31,XRD150USS-004,SAP-XRD150USS-004,XRD150USS-004,ROCKDRILL,ELECTRO-HIDRAULICA,24,10,OPERATIVO
32,XRD250U-001,SAP-XRD250U-001,XRD250U-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,10,OPERATIVO
33,XRD80USS-008,SAP-XRD80USS-008,XRD80USS-008,ROCKDRILL,ELECTRO-HIDRAULICA,24,10,OPERATIVO
34,XRD90U-012,SAP-XRD90U-012,XRD90U-012,ROCKDRILL,ELECTRO-HIDRAULICA,24,10,OPERATIVO
35,XRD90U-016,SAP-XRD90U-016,XRD90U-016,ROCKDRILL,ELECTRO-HIDRAULICA,24,10,OPERATIVO
36,XRD150U-004,SAP-XRD150U-004,XRD150U-004,ROCKDRILL,ELECTRO-HIDRAULICA,24,11,OPERATIVO
37,XRD150U-006,SAP-XRD150U-006,XRD150U-006,ROCKDRILL,ELECTRO-HIDRAULICA,24,11,OPERATIVO
38,XRD150USS-002,SAP-XRD150USS-002,XRD150USS-002,ROCKDRILL,ELECTRO-HIDRAULICA,24,12,OPERATIVO
39,XRD80USS-011,SAP-XRD80USS-011,XRD80USS-011,ROCKDRILL,ELECTRO-HIDRAULICA,24,12,OPERATIVO
40,XRD90USS-005,SAP-XRD90USS-005,XRD90USS-005,ROCKDRILL,ELECTRO-HIDRAULICA,24,12,OPERATIVO
41,XRD150U-005,SAP-XRD150U-005,XRD150U-005,ROCKDRILL,ELECTRO-HIDRAULICA,24,13,OPERATIVO
42,XRD150UBT-001,SAP-XRD150UBT-001,XRD150UBT-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,13,OPERATIVO
43,XRD90USS-001,SAP-XRD90USS-001,XRD90USS-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,13,OPERATIVO
44,XRD90USS-004,SAP-XRD90USS-004,XRD90USS-004,ROCKDRILL,ELECTRO-HIDRAULICA,24,13,OPERATIVO
45,DE710ST-001,SAP-DE710ST-001,DE710ST-001,ROCKDRILL,DIESEL,24,14,OPERATIVO
46,XRD150U-012,SAP-XRD150U-012,XRD150U-012,ROCKDRILL,ELECTRO-HIDRAULICA,24,14,OPERATIVO
47,XRD90U-004,SAP-XRD90U-004,XRD90U-004,ROCKDRILL,ELECTRO-HIDRAULICA,24,14,OPERATIVO
48,XRD90U-023,SAP-XRD90U-023,XRD90U-023,ROCKDRILL,ELECTRO-HIDRAULICA,24,14,OPERATIVO
49,DE710T-002,SAP-DE710T-002,DE710T-002,ROCKDRILL,DIESEL,24,15,OPERATIVO
50,XRD150U-009,SAP-XRD150U-009,XRD150U-009,ROCKDRILL,ELECTRO-HIDRAULICA,24,15,OPERATIVO
51,XRD150U-007,SAP-XRD150U-007,XRD150U-007,ROCKDRILL,ELECTRO-HIDRAULICA,24,16,OPERATIVO
52,XDR50USS-00T,SAP-XDR50USS-00T,XDR50USS-00T,ROCKDRILL,ELECTRO-HIDRAULICA,24,17,OPERATIVO
53,XRD125USS-001,SAP-XRD125USS-001,XRD125USS-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,17,OPERATIVO
54,XRD50USS-003,SAP-XRD50USS-003,XRD50USS-003,ROCKDRILL,ELECTRO-HIDRAULICA,24,17,OPERATIVO
55,XRD150U-011,SAP-XRD150U-011,XRD150U-011,ROCKDRILL,ELECTRO-HIDRAULICA,24,18,OPERATIVO
56,XRD150USS-001,SAP-XRD150USS-001,XRD150USS-001,ROCKDRILL,ELECTRO-HIDRAULICA,24,18,OPERATIVO
